mode,class,IS
neg,NA,ss_identified
neg,LPA,ss_identified
neg,LPA-O,ss_identified
neg,LPC,ss_identified
neg,LPC-O,ss_identified
neg,LPE,ss_identified
neg,LPE-O,ss_identified
neg,LPG,ss_identified
neg,LPI,ss_identified
neg,LPS,ss_identified
neg,PA,ss_identified
neg,PA-O,ss_identified
neg,PC,ss_identified
neg,PC-P,ss_identified
neg,PC-O,ss_identified
neg,PE,ss_identified
neg,PE-P,ss_identified
neg,PE-O,ss_identified
neg,PG,ss_identified
neg,PI,ss_identified
neg,PS,ss_identified
neg,FA,ss_identified
neg,Cer,ss_identified
neg,CerP,ss_identified
neg,SM,ss_identified
