Sample,Cohort,Scaling,Injection Order,Color
blank_0,blank,1,1,#000000
blank_1,blank,1,18,#000000
blank_2,blank,1,35,#000000
blank_3,blank,1,52,#000000
LN229_HPLMax_t0_r1,LN229_HPLMax_t0,1,2,#ee00ff
LN229_HPLMax_t0_r2,LN229_HPLMax_t0,1,19,#cc00ff
LN229_HPLMax_t0_r3,LN229_HPLMax_t0,1,36,#aa00ff
LN229_HPLMaxlowGlc_t0_r1,LN229_HPLMaxlowGlc_t0,1,3,#8800ff
LN229_HPLMaxlowGlc_t0_r2,LN229_HPLMaxlowGlc_t0,1,20,#6600ff
LN229_HPLMaxlowGlc_t0_r3,LN229_HPLMaxlowGlc_t0,1,37,#4400ff
LN229_BHBlowGlc_t0_r1,LN229_BHBlowGlc_t0,1,4,#2200ff
LN229_BHBlowGlc_t0_r2,LN229_BHBlowGlc_t0,1,21,#0000ff
LN229_BHBlowGlc_t0_r3,LN229_BHBlowGlc_t0,1,38,#0022ff
LN229_BHB_t0_r1,LN229_BHB_t0,1,5,#0044ff
LN229_BHB_t0_r2,LN229_BHB_t0,1,22,#0066ff
LN229_BHB_t0_r3,LN229_BHB_t0,1,39,#0088ff
LN229_HPLMax_t1_r1,LN229_HPLMax_t1,1,6,#00aaff
LN229_HPLMax_t1_r2,LN229_HPLMax_t1,1,23,#00ccff
LN229_HPLMax_t1_r3,LN229_HPLMax_t1,1,40,#00eeff
LN229_HPLMaxlowGlc_t1_r1,LN229_HPLMaxlowGlc_t1,1,7,#00ffee
LN229_HPLMaxlowGlc_t1_r2,LN229_HPLMaxlowGlc_t1,1,24,#00ffcc
LN229_HPLMaxlowGlc_t1_r3,LN229_HPLMaxlowGlc_t1,1,41,#00ffaa
LN229_BHBlowGlc_t1_r1,LN229_BHBlowGlc_t1,1,8,#00ff88
LN229_BHBlowGlc_t1_r2,LN229_BHBlowGlc_t1,1,25,#00ff66
LN229_BHBlowGlc_t1_r3,LN229_BHBlowGlc_t1,1,42,#ee00ff
LN229_BHB_t1_r1,LN229_BHB_t1,1,9,#cc00ff
LN229_BHB_t1_r2,LN229_BHB_t1,1,26,#aa00ff
LN229_BHB_t1_r3,LN229_BHB_t1,1,43,#8800ff
A172_HPLMax_t0_r1,A172_HPLMax_t0,1,10,#6600ff
A172_HPLMax_t0_r2,A172_HPLMax_t0,1,27,#4400ff
A172_HPLMax_t0_r3,A172_HPLMax_t0,1,44,#2200ff
A172_HPLMaxlowGlc_t0_r1,A172_HPLMaxlowGlc_t0,1,11,#0000ff
A172_HPLMaxlowGlc_t0_r2,A172_HPLMaxlowGlc_t0,1,28,#0022ff
A172_HPLMaxlowGlc_t0_r3,A172_HPLMaxlowGlc_t0,1,45,#0044ff
A172_BHBlowGlc_t0_r1,A172_BHBlowGlc_t0,1,12,#0066ff
A172_BHBlowGlc_t0_r2,A172_BHBlowGlc_t0,1,29,#0088ff
A172_BHBlowGlc_t0_r3,A172_BHBlowGlc_t0,1,46,#00aaff
A172_BHB_t0_r1,A172_BHB_t0,1,13,#00ccff
A172_BHB_t0_r2,A172_BHB_t0,1,30,#00eeff
A172_BHB_t0_r3,A172_BHB_t0,1,47,#00ffee
A172_HPLMax_t1_r1,A172_HPLMax_t1,1,14,#00ffcc
A172_HPLMax_t1_r2,A172_HPLMax_t1,1,31,#00ffaa
A172_HPLMax_t1_r3,A172_HPLMax_t1,1,48,#00ff88
A172_HPLMaxlowGlc_t1_r1,A172_HPLMaxlowGlc_t1,1,15,#00ff66
A172_HPLMaxlowGlc_t1_r2,A172_HPLMaxlowGlc_t1,1,32,#ee00ff
A172_HPLMaxlowGlc_t1_r3,A172_HPLMaxlowGlc_t1,1,49,#cc00ff
A172_BHBlowGlc_t1_r1,A172_BHBlowGlc_t1,1,16,#aa00ff
A172_BHBlowGlc_t1_r2,A172_BHBlowGlc_t1,1,33,#8800ff
A172_BHBlowGlc_t1_r3,A172_BHBlowGlc_t1,1,50,#6600ff
A172_BHB_t1_r1,A172_BHB_t1,1,17,#4400ff
A172_BHB_t1_r2,A172_BHB_t1,1,34,#2200ff
A172_BHB_t1_r3,A172_BHB_t1,1,51,#0000ff
